CITY;STATE;CAPITAL;IBGE_RES_POP;IBGE_RES_POP_BRAS;IBGE_RES_POP_ESTR;IBGE_DU;IBGE_DU_URBAN;IBGE_DU_RURAL;IBGE_POP;IBGE_1;IBGE_1-4;IBGE_5-9;IBGE_10-14;IBGE_15-59;IBGE_60+;IBGE_PLANTED_AREA;IBGE_CROP_PRODUCTION_$;IDHM Ranking 2010;IDHM;IDHM_Renda;IDHM_Longevidade;IDHM_Educacao;LONG;LAT;ALT;PAY_TV;FIXED_PHONES;AREA;REGIAO_TUR;CATEGORIA_TUR;ESTIMATED_POP;RURAL_URBAN;GVA_AGROPEC;GVA_INDUSTRY;GVA_SERVICES;GVA_PUBLIC; GVA_TOTAL ;TAXES;GDP;POP_GDP;GDP_CAPITA;GVA_MAIN;MUN_EXPENDIT;COMP_TOT;COMP_A;COMP_B;COMP_C;COMP_D;COMP_E;COMP_F;COMP_G;COMP_H;COMP_I;COMP_J;COMP_K;COMP_L;COMP_M;COMP_N;COMP_O;COMP_P;COMP_Q;COMP_R;COMP_S;COMP_T;COMP_U;HOTELS;BEDS;Pr_Agencies;Pu_Agencies;Pr_Bank;Pu_Bank;Pr_Assets;Pu_Assets;Cars;Motorcycles;Wheeled_tractor;UBER;MAC;WAL-MART;POST_OFFICES
Abadia De Goiás;GO;0;6876;6876;0;2137;1546;591;5300;69;318;438;517;3542;416;319;1843;1689;0.708;0.687;0.83;0.622;-49.44054783;-16.75881189;893.6;360;842;147.26;;;8583;Urbano;6.2;27991.25;74750.32;36915.04;145857.6;20554.2;166.41;8053;20664.57;Demais serviços;28227691;284;5;1;56;0;2;29;110;26;4;5;0;2;10;12;4;6;6;1;5;0;0;;;;;;;;;2158;1246;0;;;;1
Abadia Dos Dourados;MG;0;6704;6704;0;2328;1481;847;4154;38;207;260;351;2709;589;4479;18017;2207;0.69;0.693;0.839;0.563;-47.39683244;-18.48756496;753.12;77;296;881.06;Caminhos Do Cerrado;D;6972;Rural Adjacente;50524.57;25917.7;62689.23;28083.79;167215.28;12873.5;180.09;7037;25591.7;Demais serviços;17909274;476;6;6;30;1;2;34;190;70;28;11;0;4;15;29;2;9;14;6;19;0;0;;;;;;;;;2227;1142;0;;;;1
Abadiânia;GO;0;15757;15609;148;4655;3233;1422;10656;139;650;894;1087;6896;990;10307;33085;2202;0.69;0.671;0.841;0.579;-48.71881214;-16.18267186;1017.55;227;720;1,045.13;Região Turística Do Ouro E Cristais;C;19614;Rural Adjacente;42.84;16728.3;138198.58;63396.2;261161.91;26822.58;287984.49;18427;15628.4;Demais serviços;37513019;288;5;9;26;0;2;7;117;12;57;2;1;0;7;15;3;11;5;1;8;0;0;1;34;1;1;1;1;33724584;67091904;2838;1426;0;;;;3
Abaeté;MG;0;22690;22690;0;7694;6667;1027;18464;176;856;1233;1539;11979;2681;1862;7502;1994;0.698;0.72;0.848;0.556;-45.44619142;-19.15584769;644.74;1230;1716;1,817.07;Lago De Três Marias;D;23223;Urbano;113824.6;31002.62;172.33;86081.41;403241.27;26994.09;430235.36;23574;18250.42;Demais serviços;;621;18;1;40;0;1;20;303;62;30;9;6;4;28;27;2;15;19;9;27;0;0;;;2;2;2;2;44974716;371922572;6928;2953;0;;;;4
Abaetetuba;PA;0;141100;141040;60;31061;19057;12004;82956;1354;5567;7618;8905;53516;5996;25200;700872;3530;0.628;0.579;0.798;0.537;-48.88440382;-1.723469863;10.12;3389;1218;1,610.65;Araguaia-Tocantins;D;156292;Urbano;140463.72;58610;468128.69;486872.4;1154074.81;95180.48;1249255.29;151934;8222.36;Administração, defesa, educação e saúde públicas e seguridade social;;931;4;2;43;0;1;27;500;16;31;6;1;1;22;16;2;155;33;15;56;0;0;;;2;4;2;4;76181384;800078483;5277;25661;0;;;;2
Abaiara;CE;0;10496;10496;0;2791;1251;1540;4538;98;323;421;483;2631;582;2598;5234;3522;0.628;0.54;0.748;0.612;-39.04754664;-7.356976596;403.11;29;34;180.08;;;11663;Rural Adjacente;4435.16;5.88;22.81;35989.96;69108.67;4042.79;73151.46;11483;6370.41;Administração, defesa, educação e saúde públicas e seguridade social;;86;1;0;4;0;0;6;48;2;10;2;0;0;2;3;2;0;2;0;4;0;0;;;;;;;;;553;1674;0;;;;1
Abaíra;BA;0;8316;8316;0;2572;1193;1379;3725;37;156;263;277;2319;673;895;3999;4086;0.603;0.577;0.746;0.51;-41.66160848;-13.25353189;674.22;952;335;538.68;Chapada Diamantina;D;8767;Rural Remoto;12.41;3437.43;17990.74;28463.74;62304.83;2019.77;64324.59;9212;6982.7;Administração, defesa, educação e saúde públicas e seguridade social;;191;6;0;8;0;1;4;97;5;5;3;1;0;5;5;2;8;1;2;38;0;0;1;24;;;;;;;896;696;0;;;;1
Abaré;BA;0;17064;17064;0;4332;2379;1953;8994;167;733;978;927;5386;803;2058;22761;4756;0.575;0.533;0.776;0.46;-39.11658794;-8.723418246;316.38;51;222;1,604.92;;;19814;Rural Remoto;9176.4;6.7;36921.84;65.75;118.55;6.21;124754.26;19939;6256.8;Administração, defesa, educação e saúde públicas e seguridade social;;87;2;0;3;0;0;0;71;0;1;1;0;0;0;1;2;0;2;0;4;0;0;;;1;0;1;0;21823314;0;613;1532;0;;;;1
Abatiá;PR;0;7764;7764;0;2499;1877;622;5685;69;302;370;483;3650;811;1197;9943;2258;0.687;0.676;0.804;0.596;-50.31252658;-23.30049404;579.3;55;392;228.72;;;7507;Rural Adjacente;73340.52;8839.71;42999.37;34103.49;159283.08;5.77;165048.21;7795;21173.6;Agricultura, inclusive apoio à agricultura e a pós colheita;;285;5;0;20;0;1;10;133;18;14;8;0;4;11;26;2;8;9;4;12;0;0;;;0;1;0;1;0;45976288;2168;912;0;;;;1
Abdon Batista;SC;0;2653;2653;0;848;234;614;724;12;32;49;63;479;89;5502;26195;2092;0.69;0.66;0.812;0.625;-51.02527221;-27.60898712;720.98;109;260;237.16;Vale Do Contestado;D;2577;Rural Adjacente;24996.75;3578.87;16011.1;17842.64;62429.36;2312.65;64742.01;2617;24739.02;Administração, defesa, educação e saúde públicas e seguridade social;19506956;69;2;0;4;0;0;2;35;8;3;1;1;0;4;0;2;1;3;0;3;0;0;;;0;1;0;1;0;42909056;976;345;2;;;;1
Abel Figueiredo;PA;0;6780;6780;0;1880;1650;230;5998;102;471;609;691;3657;468;1184;4168;3657;0.622;0.625;0.8;0.481;-48.39676213;-4.951390896;192.76;248;43;614.13;Amazônia Atlântica;E;7382;Intermediário Adjacente;21381.59;5.31;20515.48;27736.46;74947.67;4709.92;79657.59;7179;11095.92;Administração, defesa, educação e saúde públicas e seguridade social;;72;0;0;9;0;1;0;41;1;0;1;0;0;2;1;6;6;0;0;4;0;0;;;0;1;0;1;0;11709575;279;807;0;;;;1
Abelardo Luz;SC;0;17100;17084;16;4739;2694;2045;9544;147;616;808;963;6068;942;57186;254540;2032;0.696;0.684;0.852;0.578;-52.33648238;-26.56303102;724.99;484;910;953.99;Grande Oeste;D;17847;Rural Adjacente;212531.45;78176.47;197092.1;78972.1;566772.13;37508.23;604280.35;17782;33982.7;Agricultura, inclusive apoio à agricultura e a pós colheita;;464;8;2;40;1;1;25;177;67;25;9;4;7;26;16;2;14;13;4;23;0;0;;;1;2;1;2;29730462;382942698;5823;2001;1;;;;1
Abre Campo;MG;0;13311;13294;17;3930;2202;1728;7101;85;362;529;620;4512;993;4543;24155;3046;0.654;0.646;0.823;0.525;-42.48098999;-20.30144528;589.83;625;519;470.55;Montanhas E Fé;D;13465;Rural Adjacente;43828.42;10448.76;72852.23;50.66;177793.23;10110.5;187903.74;13726;13689.62;Demais serviços;;369;3;2;33;0;1;12;148;31;17;5;3;4;17;12;4;11;22;6;38;0;0;;;0;1;0;1;0;81340685;2838;1851;0;;;;2
