FIELD;DESCRIPTION;REFERENCE;UNIT;SOURCE;
CITY;Name of the City;;;-;
STATE;Name of the State;;;-;
CAPITAL;1 if Capital of State;;;-;
IBGE_RES_POP;Resident Population ;2010;-;https://sidra.ibge.gov.br/tabela/1497;
IBGE_RES_POP_BRAS;Resident Population Brazilian;2010;-;https://sidra.ibge.gov.br/tabela/1497;
IBGE_RES_POP_ESTR;Redident Population Foreigners;2010;-;https://sidra.ibge.gov.br/tabela/1497;
IBGE_DU;Domestic Units Total ;2010;-;https://sidra.ibge.gov.br/tabela/3495;
IBGE_DU_URBAN;Domestic Units Urban ;2010;-;https://sidra.ibge.gov.br/tabela/3495;
IBGE_DU_RURAL;Domestic Units Rural;2010;-;https://sidra.ibge.gov.br/tabela/3495;
IBGE_POP;Resident Population Regular Urban Planning;2010;-;https://sidra.ibge.gov.br/tabela/3365;
IBGE_1;Resident Population Regular Urban Planning - until 1 y.o;2010;-;https://sidra.ibge.gov.br/tabela/3365;
IBGE_1-4;Resident Population Regular Urban Planning - from 1 to 4 y.o;2010;-;https://sidra.ibge.gov.br/tabela/3365;
IBGE_5-9;Resident Population Regular Urban Planning - from 4 to 9 y.o;2010;-;https://sidra.ibge.gov.br/tabela/3365;
IBGE_10-14;Resident Population Regular Urban Planning - from 10 to 14 y.o;2010;-;https://sidra.ibge.gov.br/tabela/3365;
IBGE_15-59;Resident Population Regular Urban Planning - from 15 to 59 y.o;2010;-;https://sidra.ibge.gov.br/tabela/3365;
IBGE_60+;Resident Population Regular Urban Planning - above 60 y.o;2010;-;https://sidra.ibge.gov.br/tabela/3365;
IBGE_PLANTED_AREA;Planted Area (hectares) ;2017;1 hectare (1 hectare = 10,000 square meters);https://sidra.ibge.gov.br/tabela/5457;
IBGE_CROP_PRODUCTION_$;Crop Production;2017;$ 1,000 reais;https://sidra.ibge.gov.br/tabela/5457;
IDHM Ranking;HDI Ranking;2010;-;http://www.br.undp.org/content/brazil/pt/home/idh0.html;
